OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module
"2,205",2018-012896PRJ,10/25/2018 12:00:00 AM +0000,Under Review,,464 43RD AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,464 43rd Ave,CONVERT GROUND FLOOR GARAGES & STORAGE INTO 4 NEW ACCESSORY DWELLING UNITS.,MCHANDLE,Planning
"25,219",2017-003841PRJ,03/29/2017 12:00:00 AM +0000,Under Review,,786 42ND AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,786 42ND AVE,The legalization of an illegal unit on the ground floor per Ord. 43-14.,SJIMENEZ,Planning
"28,143",2017-000523PRL,01/12/2017 12:00:00 AM +0000,Open,,5923 GEARY BLVD 94121,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,5923 GEARY BLVD,"install one illuminated projecting blade sign - 2'6"" tall x 6'3"" = 15.8 square feet",SPARKS,Planning
"7,294",2018-008519PRJ,06/15/2018 12:00:00 AM +0000,Under Review,,142 CORTLAND AVE 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,142 CORTLAND AVE,"The existing property contains two buildings, one unit in the rear building and two units at the front building (fronting Cortland). The proposed project would add a second story and garage to the front two-unit building. Proposed project would create an approximately  37 foot tall, two unit building fronting Cortland. Rear building will remain as is.",,Planning
567,2018-016554PIC,12/10/2018 12:00:00 AM +0000,Consultation,,1606 JONES ST 94133,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1606 JONES STREET,ADU c4,DGANETSO,Planning
"4,738",2018-011621PRJ,08/24/2018 12:00:00 AM +0000,Under Review,,101 VALLEJO ST 94111,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,101 VALLEJO ST,REPLACEMENT OF THE (E) SKYLIGHTS ON THE NON-ORIGINAL HIP ROOF PORTION OF THE (E) ROOF. THE SKYLIGHT WILL BE SIMILAR IN SIZE AS THE (E) & WILL HAVE A SIMILAR HEIGHT & PROFILE. ROOF WORK UNDER SEPARATE PA# 2017/06/13/9128. ** MAHER: N/A **,RSALGADO,Planning
"63,231",2014.0997,06/30/2014 12:00:00 AM +0000,Under Review,,"3330 OCTAVIA ST, SAN FRANCISCO, CA 94123",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3330 OCTAVIA ST,4 Unit condo. conversion,,Planning
139,2018-017124PIC,12/20/2018 12:00:00 AM +0000,Consultation,,1650 CALIFORNIA ST 94109,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1650 CALIFORNIA ST,ADU c4 intake - related to previous permit.,DWEISSGL,Planning
"1,304",2018-015709PRJ,11/16/2018 12:00:00 AM +0000,Accepted,,845 ASHBURY ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,845 ASHBURY ST,BUILD NEW 1 HR PROPERTY LINE WALL ADJACENT TO NEW UPPER FLOOR DECK (224.8 SF) WITH NEW STAIRS TO REAR YARD,EGORDON,Planning
"21,736",2017-007637PRJ,06/19/2017 12:00:00 AM +0000,Open,,615 WISCONSIN ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,615 Wisconsin Street,"Transforming the un-aclamatized storage space behind the garage into living area, with three window-wells to provide natural light. A new staircase, fully open to the floor above, will connect the new living space to the existing living space above.",VBYRD,Planning
"16,834",2018-001033PRJ,10/23/2017 12:00:00 AM +0000,Under Review,,186 LELAND AVE 94134,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,186-198 LELAND AVENUE,"Demolition to existing commercial building. New construction of a 3 story, approximately 6,024 square foot , 36'9"" tall mix-use building, with two commercial spaces and four dwelling units.",LIAJELLO,Planning
"14,028",2018-000528PRJ,12/26/2017 12:00:00 AM +0000,Open,,446 WALLER ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,440-448 WALLER,Demolish a rear shed and construct four new dwelling units on two lots fronting on Laussat street and add a dwelling unit to 446-448 Waller.,VBYRD,Planning
"23,048",2017-006241PRJ,05/18/2017 12:00:00 AM +0000,Under Review,,334 STAPLES AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,334 STAPLES AVE,RECOMMENCEMENT AND COMPLETION OF WORK APPROVED UNDER PA# 201304033748,SJIMENEZ,Planning
"6,864",2018-009000PRJ,06/27/2018 12:00:00 AM +0000,Accepted,,88 MUSEUM WAY 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,88 MUSEUM WAY,ERECT (N) 3-STORY ACCESSORY/GARAGE. PARTIAL VACANT LOT,DWASHING,Planning
"1,803",2018-014528PRJ,11/05/2018 12:00:00 AM +0000,Under Review,,28 WATERVILLE ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,28 WATERVILLE STREET,"Legalization -
Legalize (e) first floor unit per ordinance # 43-14. No changes to front facade of building, not a project under CEQA. Reduce unpermitted storage shed at rear yard to 10' x 10' to comply with planning department requirements.",DGANETSO,Planning
"34,047",2016-010438PRJ,08/11/2016 12:00:00 AM +0000,Under Review,,2801 LEAVENWORTH ST 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2801 LEAVENWORTH ST - ACADEMY OF ART UNIVERSITY,"FIRST FLOOR T.I TO INCLUDE NON STRUCTURAL PARTITIONS, NEW RESTROOMS, AND FINISH UPGRADES. MEP INCLUDED. NO EXTERIOR WORK. N/A FOR MAHER ORDINANCE NO. 155-13",MWOODS,Planning
"55,603",2015-002956PRJ,03/10/2015 12:00:00 AM +0000,Complete,,2059 GOLDEN GATE AVE 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2059 GOLDEN GATE AVE,"PROPOSED CONVERSION OF (E) STORAGE TO CONDITIONED LIVING SPACE AT FIRST FLOOR. RELOCATE UNIT #1 FROM 2ND FLR TO 1ST FLOOR, ENLARGE UNIT #2. ALL WORK TO BE PERFORMED WITHIN (E) BOUNDARY OF THE BUILDING",MPUTRA,Planning
"2,751",2018-013943PRJ,10/12/2018 12:00:00 AM +0000,Under Review,,2390 BUSH ST 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2390 BUSH ST,TO DEMOLISH 3 STORIES SCHOOL BUILDING. ** MAHER: N/A **,CMAY,Planning
"31,799",2016-009538PRJ,10/07/2016 12:00:00 AM +0000,Under Review,,300 05TH ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,905 FOLSOM STREET,"Project includes demolition of gas station building and construction of 13,626 sq. ft. eight story and 85' tall building containing 1,225 sq. ft. ground floor commercial use and nine dwelling units. (ALSO KNOWN AS 300V 5TH STREET)",EJARDINE,Planning
"8,130",2018-007662PRJ,05/24/2018 12:00:00 AM +0000,Open,,875 EL CAMINO DEL MAR 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,875 EL CAMINO DEL MAR,Expansion of existing basement to remain within front and side yard setbacks and extending into rear yard setback. Construction to include a below-grade swimming pool,RBORDON,Planning
"5,118",2018-011165PRL,08/14/2018 12:00:00 AM +0000,Under Review,,1449 10TH AVE 94122,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1449 10th Ave.,"Add a bedroom, media room, family room, full bath, half bath, sun room and storage at ground floor at first floor; add interior stair between ground and first floor; reconfigure interior layout; add bedroom and full bath at second floor",CGROB,Planning
"60,979",2014.16,10/16/2014 12:00:00 AM +0000,Under Review,,"265 LEXINGTON ST, SAN FRANCISCO, CA 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,265 - 267 LEXINGTON ST,2 Unit Condo Conversion (DPW Lottery Bypass),,Planning
"7,107",2018-008717PRJ,06/20/2018 12:00:00 AM +0000,Under Review,,2 GENEVA AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2 GENEVA AVE,ADD two NEW DWELLING UNIT TO (E) 12 UNITS BUILDING PER ORDINANCE# 162-16. (1 BEDROOM & 1 BATH).,MCHANDLE,Planning
"31,567",2016-013318PRL,10/13/2016 12:00:00 AM +0000,Open,,19 JUSTIN DR 94112,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,19 JUSTIN DR,"Comply with DBI complaint # 201633521, add retaining wall and steps on grade at rear yard. Retaining wall less than 3 feet above grade.",KHADDADA,Planning
"8,680",2018-007018PRJ,05/11/2018 12:00:00 AM +0000,Under Review,,116 NEW MONTGOMERY ST 94105,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,116 NEW MONTGOMERY ST,"ERECT NON-ELECTRICT, PROJECTING, DOUBLE-FACED, NON-ILLUMINATING, NEW SIGN **MAHER N/A**",RSALGADO,Planning
"54,284",2015-004568PRJ,04/14/2015 12:00:00 AM +0000,Submitted,,10 SOUTH VAN NESS AVE 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,10 SOUTH VAN NESS AVE,"Transportation Demand Management: New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, with two levels of sub-grade parking. Project also features approximately 41,420 square feet of open space.",CASBAGH,Planning
"61,065",2014.1568,10/14/2014 12:00:00 AM +0000,Under Review,,"1100 OAK ST, SAN FRANCISCO, CA 94117",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,425 Divisadero St/1100 Oak St,"To legalize existing public commercial parking lot.
-Note: Applicant requested conditional use application and associated variance application be withdrawn on 7/24/18.",,Planning
"8,599",2018-007071PRL,05/14/2018 12:00:00 AM +0000,Open,,535 STEINER ST 94117,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,535 STEINER ST,"replace 6 windows size for size. 4 in front, aluminum to wood. 2 in rear vinyl. U-factor 0.30. OG Lugs match existing.",JSPEIRS,Planning
649,2018-016244PRJ,12/06/2018 12:00:00 AM +0000,Accepted,,250 21ST AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,250 21st Avenue,Legalization at rear of ground floor,MBOUDREA,Planning
"32,972",2016-011671PRJ,09/09/2016 12:00:00 AM +0000,Under Review,,1746 41ST AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1746 41ST AVE,2 STORY HORIZONTAL @ REAR OF BUILDING. 1 NEW BEDROOM & 1 BATHROOM @ GROUND FLOOR. 1 NEW BEDROOM & 1 BATHROOM @ 2ND FLOOR.,MPUTRA,Planning
983,2018-016047PRJ,11/28/2018 12:00:00 AM +0000,Under Review,,721 CORBETT AVE 94131,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,721 CORBETT AVE,"REVISION TO 201702230018, DESIGN CHANGE TO CARPORT WITH CANTILEVERED ROOF, 2 POSTS",CCAMPBEL,Planning
"21,229",2017-008133PRJ,06/28/2017 12:00:00 AM +0000,On Hold,,"1025 HAMPSHIRE ST, #2 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1025 HAMPSHIRE ST,Dwelling Unit Merger - Conditional Use Authorization to permit the removal of an unauthorized unit in an existing 2-unit dwelling.,MCHRISTE,Planning
"11,089",2018-003577PRJ,03/14/2018 12:00:00 AM +0000,Under Review,,481 JESSIE ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,481 JESSIE ST,CHANGE THE FLOOR OCCUPANCY S-2 TO B ON 3RD FLOOR. NO WORK UNDER THIS PERMIT OTHER THAN REDUCING & CHANGING LOCATIONS OF (E) POWER OUTLETS.,SADINA,Planning
"76,456",2012.0909,07/16/2012 12:00:00 AM +0000,Under Review,,"690 PAGE ST, SAN FRANCISCO, CA 94117",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,690 Page Street,"The proposed project includes the demolition of an existing 2,050 square foot, circa 1959 single-story former church building and parking lot and the construction of four residential buildings with three dwelling units in each, totaling 12 dwelling units. The four buildings would each be four stories in height with at-grade garages containing three off-street vehicle parking spaces, three Class I bicycle parking spaces, and roof decks for common open space. The project includes one on-site affordable unit pursuant to the Inclusionary Affordable Housing Program and Planning Code Section 415. 
The four buildings would include frontage on Page Street and range in size from 5,400 to 5,900 square feet with a maximum height of 40 feet. The 12 individual dwelling units would range in size from 1,300 to 1,500 square feet and all units would have three bedrooms. The proposal includes subdivision into four (4) lots each 1,950 square feet in size.",CLAMOREN,Planning
927,2018-016126PIC,11/29/2018 12:00:00 AM +0000,Consultation,,60 DEARBORN ST 94110,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,60 DEARBORN,ADU c4,DGANETSO,Planning
"4,752",2018-011572PRJ,08/23/2018 12:00:00 AM +0000,Under Review,,1900 PALOU AVE 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1900-1902 Palou Ave,REPLACE (E) DECK WITH NEW DECK.,RSUCRE,Planning
"30,442",2016-014561PRL,11/09/2016 12:00:00 AM +0000,Under Review,,"1489 WEBSTER ST, #301 94115",Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1489 Webster Street - NextNav Micro WTS Facility New Build,"INSTALL (1) OMNI-DIRECTIONAL GPS TRANSMITTER, (1) WEATHER SENSOR & (1) EQUIPMENT CABINET ON (E) ROOFTOP PENTHOUSE WALL POWER TIE-IN (E) ELECTRICAL PANEL. NEXTNEV 3-911. MAHER NA",SSKANGOS,Planning
"5,780",2018-010482PRJ,07/30/2018 12:00:00 AM +0000,Accepted,,3501 CALIFORNIA ST 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3509 CALIFORNIA ST,To permit a Formula Retail establishment d.b.a. SusieCakes Bakery.,AKIRBY,Planning
"22,973",2017-006323PRJ,05/19/2017 12:00:00 AM +0000,Under Review,,1800 MISSION ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1800 MISSION ST,"Certificate of Appropriateness: Project is the repair and restoration of the parapet on the western side of the Mission Armory roof. Exploratory demolition at the parapet demonstrated deterioration and failure of the underlying structural steel as well as decorative plaster cornice. As a result, these elements require repair and replacement where required.",RSALGADO,Planning
"61,532",2014.1432,09/18/2014 12:00:00 AM +0000,Under Review,,"1151 BRODERICK ST, SAN FRANCISCO, CA 94115",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1151 BRODERICK ST,4 Units Condo. Conversion,,Planning
"3,625",2018-013133PRJ,09/20/2018 12:00:00 AM +0000,Under Review,,14 FORD ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,14 FORD STREET,"Front facade alteration: At first and second story walls, remove existing stucco and faux stone cladding and replace with new horizontal wood siding and replace existing front windows. Modify existing front entry porch with new wood trims and replacement front door. Replace existing wood deck above existing garage, with new metal guardrails and with new fire-rated solid guard wall where deck abuts east property line. At ground/garage level front wall, replace existing brick cladding with new stucco, including new metal guards and new metal gate at existing entry steps.",BHICKS,Planning
"64,617",2014.0666,05/01/2014 12:00:00 AM +0000,Under Review,,"241 10TH ST, SAN FRANCISCO, CA 94103",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,241 10TH ST,"The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  The project includes 24 accessory off-street parking spaces and 1,813 sf of commercial tenant space at the first floor along 10th Street.",CTOWNES,Planning
"61,824",2014.1349,09/03/2014 12:00:00 AM +0000,Under Review,,"685 MARKET ST, SAN FRANCISCO, CA 94105",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,685 MARKET ST,"Scope of work consists of exterior facade repairs under Permit#201404102980. The scope has been revised to address extensive deterioration of the brick at the Annex wall. The revised scope includes the replacement of the exterior wythe of brick with new brick to match the existing in size, color, texture, and appearance.",KWONG,Planning
"2,733",2018-013944PRJ,10/12/2018 12:00:00 AM +0000,Under Review,,2200 JENNINGS ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2200 JENNINGS ST,"TO ERECT A TYPE 3B, 1-STORY LIGHT INDUSTRIAL, AUTO REPAIR WAREHOUSE",XLIANG,Planning
"21,762",2017-007591PRJ,06/16/2017 12:00:00 AM +0000,Under Review,,1235 21ST AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1235 21ST AVE,REMOVE UNPERMITTED BAR SINK IN GAME ROOM & LEGALIZE LAUNDRY SINK IN STORAGE AT 1ST FLOOR.,DGANETSO,Planning
"3,303",2018-013268PRL,09/27/2018 12:00:00 AM +0000,Open,,730 CABRILLO ST 94118,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,730 CABRILLO ST,"REV TO PA# 201806212520 TO COMPLY WITH COMPLAING 201886281; REMOVE THE PANTRY & ENLARGE THE (E) CLOSET, ADD A DOOR OPENING ON THE SECOND FL. PER PLAN, REVERT THE ROOF DECK TO ORIGNAL PITCH ROOF ON 3RD FL. PER PLAN, ADD STORAGES SPACES AND RELOCATE BATHROOM FIXTURES, ADD NEW SKYLITES ON ATTIC",GPANTOJA,Planning
"3,217",2018-013391PRJ,10/01/2018 12:00:00 AM +0000,Under Review,,401 MAIN ST 94105,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,401 MAIN ST,ADMINISTRATIVE PERMIT FOR PLANNING REVIEW AND VERIFICATION OF (E) PARKING COUNTS. NO WORK UNDER THIS PERMIT,FJONES,Planning
"1,518",2018-015509PRJ,11/13/2018 12:00:00 AM +0000,Accepted,,1877 UNION ST 94123,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1877 UNION ST,REVISION TO APPROVED PA# 2018/09/26/1484. STORE FRONT MODIFICATION ONLY. TENANT IMPROVEMENT TO BE DEFERRED PERMIT BY NEW TENANT. ALL DETAILS. NO CHANGE SHALL FOLLOW PREVIOUS APPROVED PLAN,EGORDON,Planning
"71,970",2013.0468,04/16/2013 12:00:00 AM +0000,Pending,,"1721 BEACH ST, SAN FRANCISCO, CA 94123",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1721 BEACH ST,To infill room in rear of property,,Planning
"3,403",2018-013088PRJ,09/25/2018 12:00:00 AM +0000,Under Review,,218 10TH AVE 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,218 10TH AVE,"REV TO PA# 201806222695; REVISION CONSISTS OF A NEW GARAGE IN THE 1ST FL. & NEW DRIVEWAY AND CURB CUT, A NEW SIDE YARD DOOR. NO OTHER CHANGES APPROVED ON THIS PRJ",KWILBORN,Planning
"1,901",2018-014921PRL,11/01/2018 12:00:00 AM +0000,Under Review,,2270 FOLSOM ST 94110,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,2270 Folsom Street - ATT Mobility PROW WTS Facility Installation,ATT is requesting approval for modification of existing Macro WTS facility,AWOODS,Planning
"29,086",2016-015876PRJ,12/16/2016 12:00:00 AM +0000,Under Review,,3285 SAN BRUNO AVE 94134,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3299-3333 San Bruno Avenue,This project requires a Conditional Use Authorization to permit demolition and construction of 41 new dwelling units along an eight parcel stretch. The project also proposes to utilize the  Planned Unit Developments section 304 of the SF Planning Code for project sites over one half acre in size.,VFLORES,Planning
"62,396",2014.1215,08/08/2014 12:00:00 AM +0000,Under Review,,"948 LOMBARD ST, SAN FRANCISCO, CA 94133",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,948-950 LOMBARD ST,New construction of underground three-car garage and new curb cut and access from Lombard St.,,Planning
358,2018-016789PRJ,12/13/2018 12:00:00 AM +0000,Submitted,,920 NORTH POINT ST 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,900 NORTH POINT ST,The proposed project includes alteration to the existing non-historic restrooms on the south faade of the Wurster Building to accommodate a single restroom and retail space.,VLEWIS,Planning
"22,112",2017-007283PRJ,06/09/2017 12:00:00 AM +0000,Under Review,,331 PARIS ST 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,331 PARIS ST,"CONVERT THE (E) BEDROOM IN A NEW GARAGE ON THE FRONT OF THE 1ST FLOOR AND ADD ONE BEDROOM ON THE TOP OF THE NEW GARAGE, ONE NEW STAIR CONNECTING THE NEW BEDROOM WITH THE (E) HOUSE.",MPUTRA,Planning
"12,775",2018-001662PRJ,01/30/2018 12:00:00 AM +0000,Under Review,,2476 DIAMOND ST 94131,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2476 DIAMOND ST,"ERECT A 3 STORIES, NO BASEMENT, TYPE V-B, ONE FAMILY DWELLING.",JHORN,Planning
"63,791",2014.0844,06/05/2014 12:00:00 AM +0000,Under Review,,"1000 MARKET ST, SAN FRANCISCO, CA 94102",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1000 MARKET ST,Certificate of Transfer for Transferable Development Rights (from a Transfer Lot),,Planning
"30,635",2015-016243PRJ,11/03/2016 12:00:00 AM +0000,Under Review,,611 JONES ST 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,611 JONES ST,"Demolition of an existing one-story-over-garage single-family home and construction of a new eight-story, approximately 89.5-foot-tall (99.5-foot-tall including elevator penthouse) approximately 13,132-square-foot residential building with seven two-bedroom dwelling units. No vehicle parking is proposed; however, seven class 1 bicycle parking spaces will be provided at the ground floor. This project is a modification of a previously reviewed project (Case No. 2000.497E).",APERRY,Planning
"9,790",2018-005745PRJ,04/16/2018 12:00:00 AM +0000,Under Review,,385 EDDY ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,385 EDDY ST,Conditional Use Authorization application to legalize two unit conversions -one residential SRO unit and one managers unit - into resident services.,SADINA,Planning
"2,148",2018-014671PRJ,10/26/2018 12:00:00 AM +0000,Accepted,,2427 BAY ST 94123,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2427 BAY ST,"HORIZONTAL EXTENSION ON THE 1ST FLR, STEPPED HORIZONTAL EXTENSION ON THE 2ND FLR W/ 5 FT. REAR FACING DECK OVER 1ST FLR. FILL IN (E) DECK ON 2ND FLR ON RIGHT SIDE. 3RD FLR EXTENSION INCLINE W/ NEIGHBOR (2415) TO RIGHT. A ROOFDECK OF 464 SQ FT W/ CLR GLASSRAIL 42"" HIGH",KWILBORN,Planning
"4,896",2018-011410ZAV,08/20/2018 12:00:00 AM +0000,Issued,,629 POST ST 94102,Zoning Administrator Verification Letter (ZAV),ZAV,Planning,Letters,Research,Planning/Research/Letters/ZAV,629 Post Street - ZAV Request,Request for Zoning Verification Letter,DBROSKY,Planning
"66,081",2014.0293,02/24/2014 12:00:00 AM +0000,Under Review,,"1310 05TH AV, SAN FRANCISCO, CA 94122",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1310 05TH AV,4 Units Condo. Conversion,,Planning
"1,181",2018-015823PIC,11/20/2018 12:00:00 AM +0000,Consultation,,238 SAGAMORE ST 94112,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,238 SAGAMORE STREET,ADU + DECK,DGANETSO,Planning
"66,481",2014.0159,01/29/2014 12:00:00 AM +0000,Under Review,,"1007 MARKET ST, SAN FRANCISCO, CA 94103",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1007 MARKET ST,Article 11 reclassification,,Planning
"64,024",2014.0796,05/27/2014 12:00:00 AM +0000,Pending,,"5400 GEARY BL, SAN FRANCISCO, CA 94121",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,369 18TH AVE,Conditional Use Authorization request to permit the continued use as a commercial parking lot.,,Planning
"9,733",2018-005796PRJ,04/17/2018 12:00:00 AM +0000,Under Review,,901 VALENCIA ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,901 VALENCIA ST,"TO ERECT ELECTRIC, PROJECTING, DOUBLE FACED SIGN. INSTALL 2 ILLUMINATED 6X2 PROJECTION SIGNS.",RSALGADO,Planning
"1,374",2018-015603PRL,11/15/2018 12:00:00 AM +0000,Under Review,,1067 FOLSOM ST 94103,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1067 Folsom Street - ATT WTS Facility,ATT is requesting approval for modification of existing Macro WTS facility,AWOODS,Planning
"28,471",2017-000188PRJ,01/05/2017 12:00:00 AM +0000,Open,,,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,"SFPORT - Per 31, Per 31 1/2, and Pier 33",The proposed project would replace the existing single dock and gangway with two parallel floating docks (to accommodate three berths) and two gangways accessed from the existing bulkhead.,VBYRD,Planning
492,2018-016611PRJ,12/11/2018 12:00:00 AM +0000,Accepted,,1473 REVERE AVE 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1473 REVERE AVE,NEW DECK & SPIRAL STAIRS FROM 2ND FLOOR TO 1ST FLOOR. REAPIR & REPLACE DRY ROT @ (E) 1ST FLOOR DECK.,RSUCRE,Planning
"27,770",2017-000929PRL,01/23/2017 12:00:00 AM +0000,Under Review,,455 VALLEJO ST 94133,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,455 Vallejo Street - NextNav Micro WTS Facility New Build,"INSTALL (1) OMNI-DIRECTIONAL ANTENNA, (1) GPS UNIT, AND (1) EQUIPMENT CABINET ALL ON (E) ON PENTHOUSE ROOFTOP. REMOVE AND REPLACE (E) PANEL INSIDE PENTHOUSE WITH (N) ELECTRICAL PANEL NEXTNAVE E-911.",SSKANGOS,Planning
859,2018-016203ZAD,11/30/2018 12:00:00 AM +0000,Under Review,,1507 SLOAT BLVD 94132,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,1509 & 1511 Sloat Blvd - ZAD Request,Request for Letter of Determination,BHICKS,Planning
"61,171",2014.1544,10/08/2014 12:00:00 AM +0000,Under Review,,"3031 20TH ST, SAN FRANCISCO, CA 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3031 - 3035 20TH ST,2 Unit Condo Conversion (DPW Lottery Bypass),,Planning
"61,172",2014.1546,10/08/2014 12:00:00 AM +0000,Under Review,,"1500 SANSOME ST, SAN FRANCISCO, CA 94111",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1500 SANSOME ST,Replace the fencing and gates at the Roundhouse site.,,Planning
575,2018-006275PRJ,12/10/2018 12:00:00 AM +0000,Accepted,,428 GROVE ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,428 Grove Street -Work without permit (ref DBI),To legalize an unpermitted trellis.,EGORDON,Planning
